panel,method,station,mae,mse
beijing/legacy_native_h96,gaussian_observation_attention,Dongsi,0.88002868954641522,1.5659677562792229
beijing/legacy_native_h96,gaussian_observation_attention,Guanyuan,0.89891319142653014,1.8403069930042761
beijing/legacy_native_h96,gaussian_observation_attention,Gucheng,0.91811757730731369,1.6852439107616197
beijing/legacy_native_h96,gaussian_observation_attention,Huairou,0.80617897609592326,1.4514259418210089
beijing/legacy_native_h96,gaussian_observation_attention,Nongzhanguan,0.84135126290755136,1.4797161304148527
beijing/legacy_native_h96,gaussian_observation_attention,Shunyi,0.8907615267896648,1.7516987915856788
beijing/legacy_native_h96,gaussian_observation_attention,Tiantan,0.82922722130162341,1.8810841434813088
beijing/legacy_native_h96,gaussian_observation_attention,Wanliu,0.96113184099346993,2.4316181741390368
beijing/legacy_native_h96,gaussian_observation_attention,Wanshouxigong,0.79543999011831401,1.9153305868927195
beijing/legacy_native_h96,gaussian_provenance,Aotizhongxin,1.0706318780150867,2.2710960488769292
beijing/legacy_native_h96,gaussian_provenance,Changping,0.74043317518250795,1.2983557386903073
beijing/legacy_native_h96,gaussian_provenance,Dingling,0.92518378945460467,1.6434546305971556
beijing/legacy_native_h96,gaussian_provenance,Dongsi,0.8385694915136459,1.3057287507885165
beijing/legacy_native_h96,gaussian_provenance,Guanyuan,0.78098806758549633,1.3486770553645626
beijing/legacy_native_h96,gaussian_provenance,Gucheng,0.86474217329580338,1.3923263670331407
beijing/legacy_native_h96,gaussian_provenance,Huairou,0.82017373084835943,1.4598143717069625
beijing/legacy_native_h96,gaussian_provenance,Nongzhanguan,0.81399753624832083,1.2116128176315115
beijing/legacy_native_h96,gaussian_provenance,Shunyi,0.90638539832750342,1.8144406270496851
beijing/legacy_native_h96,gaussian_provenance,Tiantan,0.84675486713919146,1.9095728975369775
beijing/legacy_native_h96,gaussian_provenance,Wanliu,0.94377370312621844,2.3480655011315257
beijing/legacy_native_h96,gaussian_provenance,Wanshouxigong,0.80582589404509131,1.9415790539604414
beijing/legacy_native_h96,gaussian_provenance_attention,Aotizhongxin,1.0693243537489689,2.2624250257147631
beijing/legacy_native_h96,gaussian_provenance_attention,Changping,0.73959758228651329,1.2948999532529486
beijing/legacy_native_h96,gaussian_provenance_attention,Dingling,0.92170719226573061,1.6355895412763182
beijing/legacy_native_h96,gaussian_provenance_attention,Dongsi,0.84130558136944711,1.3121470738428325
beijing/legacy_native_h96,gaussian_provenance_attention,Guanyuan,0.78407573597141345,1.3539655243845916
beijing/legacy_native_h96,gaussian_provenance_attention,Gucheng,0.86957488392367255,1.4102103452156862
beijing/legacy_native_h96,gaussian_provenance_attention,Huairou,0.81929618946236926,1.4599367031239898
beijing/legacy_native_h96,gaussian_provenance_attention,Nongzhanguan,0.81401841718597412,1.2167636013263006
beijing/legacy_native_h96,gaussian_provenance_attention,Shunyi,0.90547679341203924,1.8092632602196665
beijing/legacy_native_h96,gaussian_provenance_attention,Tiantan,0.84652293195373596,1.906812316154809
beijing/legacy_native_h96,gaussian_provenance_attention,Wanliu,0.94404323975995286,2.350845077268144
beijing/legacy_native_h96,gaussian_provenance_attention,Wanshouxigong,0.80526322399190853,1.93702415100322
beijing/legacy_native_h96,gaussian_shifted_attention,Aotizhongxin,1.0661540728297558,2.2764717898635203
beijing/legacy_native_h96,gaussian_shifted_attention,Changping,0.69058588162053813,1.1512670901005508
beijing/legacy_native_h96,gaussian_shifted_attention,Dingling,0.90281479833852418,1.6007237908265624
beijing/legacy_native_h96,gaussian_shifted_attention,Dongsi,0.87659847523588608,1.5510975160512761
beijing/legacy_native_h96,gaussian_shifted_attention,Guanyuan,0.89776785900837008,1.8298106655548492
beijing/legacy_native_h96,gaussian_shifted_attention,Gucheng,0.91540239983094507,1.6834815336770794
beijing/legacy_native_h96,gaussian_shifted_attention,Huairou,0.80424885133928337,1.4462011024164225
beijing/legacy_native_h96,gaussian_shifted_attention,Nongzhanguan,0.83639115262330455,1.4781911867241706
beijing/legacy_native_h96,gaussian_shifted_attention,Shunyi,0.89223475509471684,1.7547489176995867
beijing/legacy_native_h96,gaussian_shifted_attention,Tiantan,0.82996585987802662,1.8843813633604527
beijing/legacy_native_h96,gaussian_shifted_attention,Wanliu,0.96138881149524791,2.4320005384184764
beijing/legacy_native_h96,gaussian_shifted_attention,Wanshouxigong,0.79518808040102473,1.9127194974423665
beijing/legacy_native_h96,gaussian_time_attention,Aotizhongxin,1.0659937734439389,2.2788860873337171
beijing/legacy_native_h96,gaussian_time_attention,Changping,0.69080925876259491,1.1504689239581332
beijing/legacy_native_h96,gaussian_time_attention,Dingling,0.90136159730659915,1.5959688577850861
beijing/legacy_native_h96,gaussian_time_attention,Dongsi,0.87805670227515498,1.5593353559023067
beijing/legacy_native_h96,gaussian_time_attention,Guanyuan,0.89685362133216606,1.8333819743057025
beijing/legacy_native_h96,gaussian_time_attention,Gucheng,0.91686349180153137,1.6898514096733903
beijing/legacy_native_h96,gaussian_time_attention,Huairou,0.804184958521732,1.4463550248521848
beijing/legacy_native_h96,gaussian_time_attention,Nongzhanguan,0.83775459562546051,1.4853005315101835
beijing/legacy_native_h96,gaussian_time_attention,Shunyi,0.89180456180098444,1.754028408359988
beijing/legacy_native_h96,gaussian_time_attention,Tiantan,0.82985525870035304,1.885354794804549
